State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Percent,Absolute
Minnesota,98.0,95.2,97.8,101.9,101.4,102.3,99.6,101.1,100.7,92.8,92.4,91.7,87.0,91.4,96.6,89.8,91.4,91.4,94.9,-3.2%,-3.1
Mississippi,61.5,70.4,63.0,64.6,66.3,64.4,66.5,68.5,65.1,60.9,63.5,58.3,60.1,57.0,59.6,61.2,62.2,60.3,63.2,2.6%,1.6
Missouri,126.1,131.0,132.2,139.1,140.0,142.8,141.0,140.0,136.7,130.9,135.6,135.9,128.3,133.5,132.8,123.6,119.0,124.5,124.3,-1.4%,-1.7
Montana,30.7,31.9,30.3,32.6,34.3,35.3,35.5,36.9,36.2,32.7,34.6,31.7,30.5,31.7,32.2,32.1,30.7,30.7,30.7,0.1%,0.0
Nebraska,41.9,43.3,42.8,43.9,43.8,44.2,44.8,45.0,47.1,47.8,50.1,52.5,50.8,53.7,52.3,50.8,48.4,47.9,52.3,24.8%,10.4
Nevada,45.7,45.1,41.8,44.0,48.3,50.3,41.8,42.0,41.2,39.6,41.0,37.6,37.7,39.4,40.1,38.1,39.5,39.6,40.9,-10.5%,-4.8
New Hampshire,17.6,17.1,17.8,21.1,22.1,21.4,19.5,19.3,18.9,17.2,16.7,16.3,14.8,14.5,15.2,15.3,13.8,13.5,14.2,-19.1%,-3.4
New Jersey,122.8,120.4,120.4,121.7,124.6,129.2,122.1,129.6,127.4,110.1,105.7,104.1,98.8,100.9,105.0,103.9,105.6,99.1,105.1,-14.4%,-17.7
New Mexico,58.4,58.7,55.7,57.9,59.2,59.7,60.3,59.4,56.9,57.7,53.4,55.8,53.9,53.3,50.2,50.2,48.3,49.0,45.2,-22.6%,-13.2
New York,212.6,207.1,201.4,212.0,214.8,210.7,192.2,198.7,188.9,172.8,186.1,175.9,168.5,170.1,177.8,175.6,170.7,166.4,175.4,-17.5%,-37.2
North Carolina,149.9,145.1,146.8,148.0,151.7,155.7,150.2,156.0,150.8,134.2,147.9,133.3,125.5,126.7,129.8,125.4,125.3,121.2,124.4,-17.1%,-25.6
North Dakota,51.4,52.4,52.1,51.7,50.3,53.2,51.5,53.3,53.7,52.2,52.7,54.1,56.6,57.0,59.1,57.7,54.7,56.6,58.9,14.5%,7.5
Ohio,266.4,256.0,262.4,270.3,266.1,273.7,266.5,270.1,262.8,237.4,246.0,233.9,214.1,227.6,230.0,211.3,205.1,204.5,208.5,-21.7%,-57.9
Oklahoma,100.2,101.7,102.0,104.2,100.4,107.2,110.6,109.8,112.6,106.7,105.3,106.4,104.4,102.6,104.0,99.7,95.6,92.7,97.4,-2.8%,-2.8
Oregon,41.1,40.9,39.4,39.9,41.0,41.3,40.6,44.0,43.0,41.0,40.9,37.3,37.1,39.3,38.1,38.2,37.9,39.0,39.7,-3.3%,-1.4
Pennsylvania,277.5,264.8,271.6,275.2,278.7,281.4,275.9,278.5,270.4,244.8,256.5,250.6,240.2,249.8,249.6,233.0,217.8,214.8,219.8,-20.8%,-57.6
Rhode Island,11.8,12.4,11.8,11.6,11.0,11.3,10.6,11.1,10.7,11.3,11.0,11.0,10.5,10.1,10.6,10.9,9.6,10.0,11.1,-6.0%,-0.7
South Carolina,81.3,79.1,80.7,81.3,88.5,86.9,87.3,87.7,85.5,79.8,84.0,80.0,73.4,69.9,74.2,72.5,71.6,69.0,73.2,-10.0%,-8.1
South Dakota,14.3,13.6,13.9,13.8,13.9,13.4,13.5,14.0,15.1,14.9,15.0,14.6,14.9,15.4,15.3,14.1,14.8,14.6,15.5,9.0%,1.3
Tennessee,127.9,125.9,125.3,123.5,125.3,126.5,128.5,128.1,121.7,102.8,110.7,106.9,100.6,99.1,104.5,100.8,103.3,97.9,94.4,-26.2%,-33.5
Texas,678.8,674.7,687.0,681.3,682.6,654.4,653.8,652.9,624.5,585.9,614.3,632.0,619.4,647.6,653.4,647.9,650.4,659.9,681.9,0.5%,3.1
Utah,65.4,63.4,62.7,63.4,66.1,67.5,68.8,70.7,69.9,65.0,63.8,64.2,61.6,66.4,65.1,63.5,58.6,58.7,60.9,-6.9%,-4.5
Vermont,6.8,6.6,6.4,6.6,7.1,6.8,6.7,6.5,6.0,6.2,5.9,5.8,5.4,5.7,5.9,6.1,5.9,5.8,5.8,-13.9%,-0.9
Virginia,123.7,121.6,120.1,124.2,128.4,130.0,123.5,128.7,117.5,106.2,111.5,102.6,99.0,105.8,106.5,106.5,107.4,103.0,107.4,-13.1%,-16.2
Washington,78.4,78.4,72.0,74.0,75.4,76.2,73.9,79.3,76.0,73.7,70.9,67.1,65.7,72.2,70.5,72.3,77.4,77.3,76.7,-2.1%,-1.7
West Virginia,115.4,104.8,118.1,114.6,111.6,113.6,113.8,116.0,111.8,90.5,101.5,98.7,93.1,95.2,100.8,92.8,95.2,91.4,89.7,-22.2%,-25.7
Wisconsin,108.5,106.5,107.7,105.7,108.5,111.6,103.7,105.3,105.8,96.7,99.1,98.2,91.1,101.6,101.6,100.4,96.1,99.1,101.7,-6.3%,-6.8
Wyoming,63.5,63.9,62.7,64.6,64.7,63.9,64.7,67.0,67.6,64.2,65.6,64.4,66.8,68.8,65.7,63.8,61.0,62.4,63.4,-0.2%,-0.1
United States,"5,866.6","5,764.7","5,809.2","5,859.9","5,978.8","5,999.2","5,913.7","6,003.1","5,816.6","5,392.0","5,584.6","5,445.9","5,229.0","5,356.0","5,413.2","5,262.8","5,170.5","5,130.6","5,281.0",-10.0%,-585.6
